,retorno_anual
MLM,0.251562822551053
MMC,0.1109883605307707
MMM,0.25089594115265385
MNST,0.1544556373072683
MO,0.24328258398527686
MOH,-0.1058677666417457
MOS,-0.042315880568799875
MPC,0.26852124238441605
MPWR,0.439387415131078
MRK,0.06049762189856105
MRNA,-0.3214734366859144
MS,0.28571141410844936
MSCI,0.1283944309818837
MSFT,0.2852872409739004
MSI,0.25230733040260006
MTB,0.09431847099469215
MTCH,-0.03999474798729682
MTD,0.08769357474291224
MU,0.546098186033357
NCLH,0.3320415497363131
NDAQ,0.16925563915125857
NDSN,0.0590542254035596
NEE,0.05683646456818069
NEM,0.3184521746739498
NFLX,0.591455499721999
NI,0.21917607037317524
NKE,0.00839024413888255
NOC,0.11908660991890087
NOW,0.33719851461661027
NRG,0.5830917692723891
NSC,0.15481184203551546
NTAP,0.2706385840460604
NTRS,0.20444416135066582
NUE,0.12521459730791043
NVDA,1.0255830836310094
NVR,0.24784079648327967
NWS,0.2594342306803103
NWSA,0.224202655089652
NXPI,0.2144901972653953
O,0.07323557407082781
ODFL,0.08093569134073318
OKE,0.174007278576777
OMC,0.11634691456058041
ON,0.021491279413296815
ORCL,0.5906443202039233
ORLY,0.2775110688129007
OTIS,0.14327196889917165
OXY,-0.06786020248086305
PANW,0.3747659500710876
PAYC,-0.06992170989417582
PAYX,0.08029048613773193
PCAR,0.24091690123077442
PCG,0.07149528204451201
PEG,0.1615521597987024
PEP,-0.00595169365561931
PFE,-0.07757951748340809
PFG,0.09105296420859448
PG,0.09148413540463468
PGR,0.27148696152669977
PH,0.4109845358336175
PHM,0.46918149616853344
PKG,0.25798312405465246
PLD,0.10288152291336945
PLTR,1.2340877531536407
PM,0.2593404467249112
PNC,0.15074713686871705
PNR,0.37471806527957435
PNW,0.16381566092773867
PODD,0.16064264330446343
POOL,0.04374712745813079
PPG,0.009941550677420358
PPL,0.158478763413619
PRU,0.11450337168511075
PSA,0.06492034487492407
PSKY,0.16730197152869847
PSX,0.21250342751546208
PTC,0.23421778517881733
PWR,0.43706966658907737
PYPL,-0.028372612545203416
QCOM,0.19982970552757154
RCL,0.7439926038151401
REG,0.14556662006831056
REGN,-0.025181701537136898
RF,0.16473658436672758
RJF,0.19897603499847583
RL,0.5009265953686503
RMD,0.13042745260028674
ROK,0.2065893724712674
ROL,0.19254337495807752
ROP,0.11611998928794424
ROST,0.21934245806775898
RSG,0.1783376080385139
RTX,0.27354662332446894
RVTY,-0.0444807611814377
SBAC,-0.08443247829454861
SBUX,0.06654259970214471
SCHW,0.1387480092108779
SHW,0.1928608729684048
SJM,-0.027337527083722182
SLB,0.03648605550245065
SMCI,1.170750982219585
SNA,0.21638157365889477
SNPS,0.2217660730725272
SO,0.15220308339457542
SPG,0.30746863983228967
SPGI,0.16546871839739608
SRE,0.11200738965884258
STE,0.148267180389813
STLD,0.28779559794981074
STT,0.2674544483202041
STX,0.6054338100992268
STZ,-0.12345053700554805
SW,0.23890648921585605
SWK,0.07838080496519388
SWKS,0.05464351759909349
SYF,0.36192137595885493
SYK,0.21600254407853392
SYY,0.07940600165637111
T,0.261759963679177
TAP,0.03934368660019661
TDG,0.3628110071886697
TDY,0.19250957293768492
TECH,0.008837298139531326
TEL,0.257586034138715
TER,0.2983177671207098
TFC,0.10628297495099524
TGT,-0.09308890175228035
TJX,0.2884523889246827
TKO,0.40315460651372137
TMO,0.04048666383342238
TMUS,0.19456803818386445
TPL,0.23176523212150385
TPR,0.5351350728961346
TRGP,0.37150751854255837
TRMB,0.15950584893316305
TROW,0.06101554983561557
TRV,0.23457547529586625
TSCO,0.16734593948408152
TSLA,0.3744714505742228
TSN,-0.005978623034846973
TT,0.3865159496283286
TTD,0.1307763401452307
TTWO,0.30907769278417524
TXN,0.10893016718183003
TXT,0.13823274607823866
TYL,0.1469750726127992
UAL,0.4377306670714922
UBER,0.4819283699070526
UDR,0.01814516023761265
UHS,0.3106819726586012
ULTA,0.16181398209023118
UNH,-0.049081689401639685
UNP,0.09707402835102305
UPS,-0.13464386846214982
URI,0.48199581999192503
USB,0.14009596048404196
V,0.2389338524739177
VICI,0.0858779312418201
VLO,0.19348383540009392
VMC,0.24586135205917703
VRSK,0.13901297324753872
VRSN,0.1599527259513939
VRTX,0.14068222676506167
VST,0.8839770241883317
VTR,0.24531553772447312
VTRS,0.1287654992395803
VZ,0.12260302193012408
WAB,0.30942168754944555
WAT,0.10111365884952096
WBD,0.303220633297729
WDAY,0.19822651376304173
WDC,0.6166631023174641
WEC,0.11997913373721603
WELL,0.388416483580909
WFC,0.27421108231847946
WM,0.12132419668451286
WMB,0.3198345316886662
WMT,0.3088346251450616
WRB,0.22326127361243706
WSM,0.4992578552122495
WST,0.1237993412477831
WTW,0.19886704656210855
WY,0.010861881819350097
WYNN,0.26336234884960025
XEL,0.12078295410922443
XOM,0.11998777846454249
XYL,0.20052158588252159
XYZ,0.21612368598488815
YUM,0.13869842832972376
ZBH,0.0020037482649353593
ZBRA,0.11130661173085277
ZTS,0.027931198692569242
